name,city,state,lat,lon,proof_url
Colonnade Apartments,San Jose,CA,37.333741928794,-121.884563085271,https://oll-leasing.loftliving.com/oll/?siteId=1330135&MoveInDate=08/19/2026&UnitId=218&oll-source-attribution=apartments.com
Padre Apartments,San Francisco,CA,37.783382914677,-122.412560274781,https://padreapartments.loftliving.com/
460 Davis Court,San Francisco,CA,37.796630098843,-122.398170683097,https://oll-leasing.loftliving.com/oll/?siteId=5569266&MoveInDate=01/30/2026&UnitId=637&oll-source-attribution=apartments.com
Cumberland Ridge Apartments,Clarksville,TN,36.503239993674,-87.316803979507,https://cumberlandridge.activebuilding.com/
1475 Fillmore Street,San Francisco,CA,37.782620333796,-122.432642831328,https://oll-leasing.loftliving.com/oll/?siteId=4289519&MoveInDate=10/01/2026&UnitId=538&oll-source-attribution=apartments.com
Oak Ridge Apartments,Sacramento,CA,38.665598108365,-121.350588221078,https://oakridgeapartmentsfpi.loftliving.com/
Rivergate Apartments,Sacramento,CA,38.496111915088,-121.543197096471,https://rivergateapartments.loftliving.com/support/pincode
Del Norte Park Apartments,Sacramento,CA,38.621154612137,-121.36388042385,https://delnortepark.loftliving.com/
Vue at the Lake Apartments,Sacramento,CA,38.5071986644,-121.540534525993,https://vueatthelakeapartments.loftliving.com/support/pincode
Markston Apartments,Sacramento,CA,38.596890395526,-121.408253810503,https://markstonapartments.loftliving.com/support/pincode
Marigold Lane Apartments,Sacramento,CA,38.591379616332,-121.400284230109,https://marigoldlane.loftliving.com/support/pincode
Auburn Village Apartments,Sacramento,CA,38.638072659383,-121.380384362924,https://auburnvillage.loftliving.com/support/pincode
Village Park Apartments,Sacramento,CA,38.634266559774,-121.457013175984,https://villageparkapartments.loftliving.com/support/pincode
Granite Pointe Apartments,Oakland,CA,37.770365163306,-122.185221502496,https://livegranitepointe.loftliving.com/support/pincode
Santana Apartments,Oakland,CA,37.797451504109,-122.242038776297,https://santanaapartments.loftliving.com/support/pincode
Naples Court Apartments,Chula Vista,CA,32.612352451204,-117.07303044642,https://naplescourtapartments.loftliving.com/
Alderwood Apartments,Chula Vista,CA,32.611719969893,-117.072783816378,https://liveatalderwoodapartments.loftliving.com/
Seawind Apartments,Chula Vista,CA,32.613738863659,-117.07357891593,https://seawindapartments.loftliving.com/support/pincode
Beacon Cove Apartments,Chula Vista,CA,32.638483961499,-117.041907268252,https://beaconcoveapartments.loftliving.com/support/pincode
Miami,Miami,FL,25.778061836315,-80.189364553719,https://oll-leasing.loftliving.com/oll/?siteId=5063016&MoveInDate=04/25/2026&UnitId=551&oll-source-attribution=apartments.com
1005 Spring Garden Rd,Miami,FL,25.78546660677,-80.211209052269,https://oll-leasing.loftliving.com/oll/?siteId=5562321&MoveInDate=09/08/2026&UnitId=16&oll-source-attribution=apartments.com
Northside Transit Village II,Miami,FL,25.845890569418,-80.24794663651,https://northsidetransitvillageii.loftliving.com/
811 Northwest 43rd Avenue,Miami,FL,25.779533346861,-80.265960654532,https://oll-leasing.loftliving.com/oll/?siteId=5288133&MoveInDate=12/07/2026&UnitId=61&oll-source-attribution=apartments.com
1699 68th Street North,Saint Petersburg,FL,27.788294411888,-82.733716728112,https://oll-leasing.loftliving.com/oll/?siteId=5368252&MoveInDate=05/17/2026&UnitId=48&oll-source-attribution=apartments.com
Crescent Lane Apartments,Saint Petersburg,FL,,,https://crescentlaneapartments.loftliving.com/support/pincode
333 3rd Ave S,Saint Petersburg,FL,27.768640763741,-82.637556881957,https://oll-leasing.loftliving.com/oll/?siteId=5705106&MoveInDate=11/02/2026&UnitId=179&oll-source-attribution=apartments.com
Perse Apartments,Orlando,FL,28.378430696939,-81.488177692925,https://perseapartments.loftliving.com/login
Sunset Oaks Apartments,Orlando,FL,28.581494522836,-81.475734173494,https://sunsetoaksapts.loftliving.com/support/pincode
Art Avenue Apartments,Orlando,FL,28.478272830121,-81.245514288992,https://oll-leasing.loftliving.com/oll/?siteId=4308252&MoveInDate=07/16/2026&UnitId=252&oll-source-attribution=apartments.com
Apartments,Orlando,FL,28.525998418258,-81.458998323719,https://oll-leasing.loftliving.com/oll/?siteId=4522458&MoveInDate=11/17/2026&UnitId=82&oll-source-attribution=apartments.com
The,Gainesville,FL,29.652776848478,-82.328853994105,https://the400.loftliving.com/support/pincode
CVH,Fredericksburg,VA,38.31377448563,-77.470210353933,https://cvhc.activebuilding.com/login
