run_id,started,skill,area,status,counts,errors,duration_sec
20260910T102941-find-upcoming,2026-09-10T10:29:41,find-upcoming,plano-richardson,ok,"legistar_pz_matters_scanned=12, legistar_residential_matches=1, tdlr_urls_read=18, tdlr_projects_found=5, news_urls_read=30, news_projects_found=7, duplicates_merged=5, total_projects=8",0,58.3
20260910T102700-find-website,2026-09-10T10:27:00,find-website,plano-richardson,ok,"total=207, high=146, medium=2, low=9, none=50",0,238.3
20260910T102622-find-upcoming,2026-09-10T10:26:22,find-upcoming,plano-richardson,ok,"legistar_pz_matters_scanned=12, legistar_residential_matches=1, tdlr_urls_read=17, tdlr_projects_found=5, news_urls_read=31, news_projects_found=7, duplicates_merged=1, total_projects=12",0,136.4
20260910T102455-find-upcoming,2026-09-10T10:24:55,find-upcoming,plano-richardson,ok,"legistar_pz_matters_scanned=12, legistar_residential_matches=1, tdlr_urls_read=4, tdlr_projects_found=2, news_urls_read=16, news_projects_found=4, duplicates_merged=0, total_projects=7",0,18.7
20260910T102223-find-upcoming,2026-09-10T10:22:23,find-upcoming,plano-richardson,ok,"legistar_pz_matters_scanned=12, legistar_residential_matches=1, tdlr_urls_read=4, tdlr_projects_found=4, news_urls_read=16, news_projects_found=11, duplicates_merged=0, total_projects=16",0,59.7
20260910T102057-find-website,2026-09-10T10:20:57,find-website,plano-richardson,ok,"total=207, high=151, medium=1, low=10, none=45",0,239.1
20260910T101443-find-website,2026-09-10T10:14:43,find-website,plano-richardson,ok,"total=207, high=172, medium=3, low=7, none=25",0,247.6
20260910T101336-find-upcoming,2026-09-10T10:13:36,find-upcoming,plano-richardson,ok,"legistar_pz_matters_scanned=12, legistar_residential_matches=1, tdlr_urls_read=16, tdlr_projects_found=3, news_urls_read=7, news_projects_found=3, duplicates_merged=0, total_projects=7",0,114.0
20260910T101151-find-sales,2026-09-10T10:11:51,find-sales,plano-richardson,ok,"communities_checked=207, parcels_checked=232, sold=28, sold_by_deed=23, owner_changed_without_deed=5",0,14.2
20260910T100930-find-apartments,2026-09-10T10:09:30,find-apartments,plano-richardson,ok,"parcels=232, communities=207, units=54784",0,7.1
