apt_id,name,address,city,zip,units,year_built,owner,parcels,cad_prop_ids,cad_use_code,website,website_confidence,software,signal,proof_url,checked_at,unknown_reason
2785825,Windsor Metro West Apartments,8055 Windrose Ave,Plano,75024,401,2017,IMP METRO WEST LLC,1,2785825,MFU,https://www.windsorcommunities.com/properties/windsor-metro-west/,high,Yardi,portal,https://windsormetrowest.securecafe.com/residentservices/metro-west-by-windsor/userlogin.aspx,2026-09-10,
2614633,Dorian,8401 Memorial Ln,Plano,75024,398,2007,KV TRIBECA APARTMENTS LLC,1,2614633,MFU,https://www.dorianandencoreluxuryliving.com/,high,RealPage,hop-portal,https://dorianandencore.loftliving.com/login,2026-09-10,
2581386,Villas Of Spring Creek Ii Apartments,6301 Stonewood Dr,Plano,75024,396,1999,CREEKWOOD SPRINGCREEK DEVELOPMENT LP,2,2581386;2581388,MFU,https://villasofspringcreek.com/,high,Yardi,portal,https://villas-of-spring-creek.securecafe.com/residentservices/villas-of-spring-creek/userlogin.aspx,2026-09-10,
1627494,The Dayton,6000 Ohio Dr,Plano,75093,389,1985,PECOS HOUSING FINANCE CORPORATION,1,1627494,MFU,https://www.livethedayton.com/,high,ResMan,portal,https://s2capital.myresman.com/Portal/Applicants/Availability?a=1080&p=3683ab21-b83b-4d31-b29f-584e422c6d46&_gl=1*1i1vner*_gcl_au*MTA3MjUyMDkwMy4xNjk4MjA3MTM1*_ga*MTM2OTY2OTE4Mi4xNjk4MjA3MTM1*_ga_8SMWMMGMWV*MTY5ODIxMTk0My4yLjEuMTY5ODIxMzk5Ny41Ni4wLjA.,2026-09-10,
2739046,Centric One90,680 Executive Dr,Plano,75074,386,2014,TRG BUSH TURNPIKE LP,1,2739046,MFU,https://www.centricone90.com/,high,Yardi,portal,https://centricone90.securecafenet.com/residentservices/aura-one900/userlogin,2026-09-10,
2763841,Jada Legacy Central Tc,6501 Excellence Way,Plano,75023,385,2018,PLANO PUBLIC FACILITY CORPORATION,1,2763841,MFU,,none,unknown,none,,,no-website
2058512,Creekside At Legacy Apartments,6300 Windcrest Dr,Plano,75024,380,1996,KEY CREEKSIDE LLC,1,2058512,MFU,https://www.creeksideatlegacy.com/,high,RealPage,hop-portal,https://creeksideatlegacy.loftliving.com/login,2026-09-10,
2861988,Ferro,1005 11Th St,Plano,75074,379,2021,TB PLANO 1 LLC,1,2861988,MFU,https://www.liveferro.com/,high,Yardi,portal,https://liveferro.securecafe.com/onlineleasing/ferro/guestlogin.aspx,2026-09-10,
2023604,Thornbury At Chase Oaks Apartments,7101 Chase Oaks Blvd,Plano,75025,376,1994,PLANO PUBLIC FACILITY CORPORATION,1,2023604,MFU,https://www.thornburyatchaseoaksapts.com/,high,Entrata,portal,https://thornburyatchaseoaksapts.residentportal.com/auth,2026-09-10,
1771372,Steeplechase Apartments,7301 Alma Dr,Plano,75025,368,1984,PLANO PUBLIC FACILITY CORPORATION,1,1771372,MFU,https://www.steeplechasedallas.com/,high,Yardi,portal,https://steeplechasedallas.securecafenet.com/residentservices/steeplechase-apartments/userlogin,2026-09-10,
2028165,Bentley Place At Willow Bend Apartments,5945 W Parker Rd,Plano,75093,368,1995,DALLAS BENTLEY I LP &,1,2028165,MFU,https://www.bentleyplaceapts.com/,high,Yardi,portal,https://bentleyplaceapts.securecafe.com/residentservices/bentley-place/userlogin.aspx?PropLeadSource_159686=portal&_yTrackUser=NDQ3MzU3NjM1MyMxMzA0NTM5NjQ2-wfkN6zeYcEA%253d&_yTrackVisit=NzIxNDUxNzQ2MyMxNzI5NjczMjIw-57u%252f%252f6CZm4E%253d&_yTrackReqDT=08301820261009,2026-09-10,
2058800,1201 Park Apartments,1201 E Park Blvd,Plano,75074,368,1996,1201 PARK PLANO ASSOCIATES LLC,1,2058800,MFU,https://www.1201park.com/,high,Entrata,portal,https://1201parkapts.residentportal.com/,2026-09-10,
2039201,Carrington Park Apartments,3001 Communications Pkwy,Plano,75093,364,1994,TREA CARRINGTON PARK LLC,1,2039201,MFU,https://www.livecarringtonpark.com/,high,Yardi,portal,https://livecarringtonpark.securecafe.com/residentservices/carrington-park-4/userlogin.aspx?PropLeadSource_649995=portal&_yTrackUser=NDQ3MzQ2NDQ2NiMxMjEzNTgzODgz-Vy3m9RaLdZo%253d&_yTrackVisit=NzIxNDM0MjU2MyMxODg0NzQzMzIy-uhOUfrqxSp8%253d&_yTrackReqDT=44341720261009,2026-09-10,
2895746,Windsor West Plano,2100 Legacy Dr,Plano,75023,363,2022,COLUMBIA LEGACY SQUARE LP,1,2895746,MFU,https://www.windsorcommunities.com/properties/windsor-west-plano/,high,Yardi,portal,https://windsorwestplano.securecafe.com/residentservices/windsor-west-plano/userlogin.aspx,2026-09-10,
1708628,Waterford On The Meadow Apartments,1414 Shiloh Rd,Plano,75074,350,1984,H20 WATERFORD 12C LLC,1,1708628,MFU,https://waterfordonthemeadow.com/,high,ResMan,portal,https://jpns.myresman.com/Portal/Access/SignIn/WOM,2026-09-10,
2924684,One 90 Gateway,3201 Wynwood Dr,Plano,75074,347,2021,PLANO HOUSING AUTHORITY,1,2924684,MFU,https://www.one90gateway.com/,high,RealPage,portal,https://one90gateway.loftliving.com/login,2026-09-10,
2058069,Legends At Chase Oaks Apartments,701 Legacy Dr,Plano,75023,346,1996,701 LEGACY DRIVE SPE LLC &,1,2058069,MFU,https://www.legendsatchaseoaks.com/,high,Yardi,portal,https://sitemanager.rentcafe.com/residentservices/legends-at-chase-oaks-2/userlogin.aspx,2026-09-10,
2053077,Brooks On Preston Apartments,7200 Preston Rd,Plano,75024,342,1995,JANRIC ENTERPRISES LTD,1,2053077,MFU,https://www.brooksonpreston.net/,high,Yardi,hop-portal,https://brooksonpreston.securecafe.com/residentservices/brooks-on-preston/userlogin.aspx,2026-09-10,
