apt_id,name,address,city,zip,units,year_built,owner,parcels,cad_prop_ids,cad_use_code
356947,Aura Northline,541 J Pl,Plano,75074,325,2024,TRG NORTHLINE LP,2,356947;356965,MFU
2069317,La Ventura Apartments,2600 Ventura Dr,Plano,75093,324,1998,LA VENTURA PLANO LLC,1,2069317,MFU
2504520,Mcdermott Place Apartments,8900 Independence Pkwy,Plano,75025,324,2000,HEITMAN CREDIT ACQUISITION XL LP,1,2504520,MFU
2543479,Cottonwood Ridgeview,9100 Independence Pkwy,Plano,75025,322,2004,COTTONWOOD COURTNEY MANOR H LLC &,1,2543479,MFU
2672947,Gateway Crossing Apts,380 Vistacourt Dr,Plano,75074,322,2014,BELL VALUE-ADD FUND VIII GATEWAY LP,1,2672947,MFU
2628294,Huntington Apartments,4925 Rasor Blvd,Plano,75024,320,2016,FAIRFIELD HUNTINGTON LP,1,2628294,MFU
2571968,Maa At Market Center Ii Apartments,440 Coit Rd,Plano,75075,318,2014,MID-AMERICA APARTMENTS LP,1,2571968,MFU
2945424,Park Residences Plano,1109 Park Vista Rd,Plano,75094,318,2019,PARK RESIDENCES PLANO WEST LLC,2,2945424;2945425,MFUSE
1963481,Collin Creek Apartments,2301 Pebble Vale Dr,Plano,75075,314,1988,PLANO PUBLIC FACILITY CORPORATION,1,1963481,MFU
2666205,Parkside At Legacy V Apts,5745 Bozeman Dr,Plano,75024,310,2011,5765 BOZEMAN (TX) OWNER LP,1,2666205,MFU
2763842,Opal Legacy Central Apartments,6500 Excellence Way,Plano,75023,310,2019,PLANO PUBLIC FACILITY CORPORATION,1,2763842,MFU
2787666,Latitude Apartments,601 Patton Blvd,Plano,75075,304,2019,PLANO PUBLIC FACILITY CORPORATION,1,2787666,MFU
1976049,Lakeshore At Preston Apartments,3700 Preston Rd,Plano,75093,302,1991,SIMFA LAKESHORE FEE SIMPLE LLC,1,1976049,MFU
2070489,Sheridan Park At Spring Creek Apartments,2001 E Spring Creek Pkwy,Plano,75074,300,1997,SPRING CREEK FEE OWNER LLC,1,2070489,MFU
2073802,Waters Edge Apartments,5000 Whitestone Ln,Plano,75024,300,1997,SAGAR EDGE MASTER LLC,1,2073802,MFU
2560139,Axis 3700,3700 Mapleshade Ln,Plano,75075,300,2014,APARTMENTS AXIS SPE LLC &,1,2560139,MFU
2786868,Kincaid At Legacy Apartments,7200 Dallas Pkwy,Plano,75024,300,2017,KINCAID AT LEGACY TEXAS LLC,1,2786868,MFU
1824574,Summers Crossing Apartments,1500 Preston Rd,Plano,75093,294,1985,PLANO PUBLIC FACILITY CORPORATION,1,1824574,MFU
2843992,Legacy North,5765 Bozeman Dr,Plano,75024,293,2009,5765 BOZEMAN (TX) OWNER LP,1,2843992,MFU
1571757,Cross Creek Apartments,7401 Alma Dr,Plano,75025,290,1983,ANNE MAYA - PLANO LLC &,1,1571757,MFU
2084407,Ranch At Ridgeview Apartments,2901 Ridgeview Dr,Plano,75025,288,1998,RAR PLANO LLC,1,2084407,MFU
2818383,Windsor Preston,7950 Preston Rd,Plano,75024,288,2018,ALTA 289 LLC,1,2818383,MFU
