apt_id,software,signal,proof_url,checked_at,unknown_reason
2615335,unknown,none,,2026-09-10,no-portal-link
2096027,unknown,none,https://apply.funnelleasing.com/877/login,2026-09-10,in-house-portal
2047952,unknown,none,,,no-website
2544026,in-house:UDR,portal,https://residents.udr.com/,2026-09-10,
2750390,Yardi,portal,https://thegrandatlegacywest.securecafe.com/residentservices/the-grand-at-legacy-west0/userlogin.aspx,2026-09-10,
2143049,unknown,none,https://apply.funnelleasing.com/869/login,2026-09-10,in-house-portal
2929400,unknown,none,,,no-website
2652395,RealPage,portal,https://property.onesite.realpage.com/welcomehome?siteId=2815615#url=%23login,2026-09-10,
2111968,Yardi,portal,https://maac.securecafe.com/residentservices/apartmentsforrent/userlogin.aspx,2026-09-10,
1503260,ResMan,portal,https://jpns.myresman.com/Portal/Access/SignIn/CKV,2026-09-10,
2095999,unknown,none,,2026-09-10,no-portal-link
357054,Yardi,portal,https://belairoaks.securecafenet.com/residentservices/bel-air-oaks/userlogin?dropdownlangid=999,2026-09-10,
2557400,RealPage,portal,https://8763937.onlineleasing.realpage.com/,2026-09-10,
2544628,Yardi,portal,https://saxonyatchaseoaks.securecafe.com/residentservices/saxony-at-chase-oaks/userlogin.aspx?PropLeadSource_159688=portal&_yTrackUser=NDQ3MzQ2MzU0MiMxNjQxNzI5Njcx-06sKh5KJthg%253d&_yTrackVisit=NzIxNDM0MTEyMyMxMDY4MTE1MzU0-Ah6%252fK02tMgI%253d&_yTrackReqDT=17341720261009,2026-09-10,
1986344,unknown,none,,,no-website
1988024,Entrata,portal,https://evokeapartmentsplano.residentportal.com/auth,2026-09-10,
2571959,Yardi,portal,https://maac.securecafe.com/residentservices/apartmentsforrent/userlogin.aspx,2026-09-10,
2107994,Yardi,portal,https://missiongateapts.securecafenet.com/residentservices/mission-gate0/userlogin,2026-09-10,
1708003,Entrata,hop-portal,https://thewestsidepac.residentportal.com/,2026-09-10,
2006652,RealPage,portal,https://property.onesite.realpage.com/welcomehome?siteId=2354106#url=%23login,2026-09-10,
2646098,unknown,none,,,no-website
2785825,Yardi,portal,https://windsormetrowest.securecafe.com/residentservices/metro-west-by-windsor/userlogin.aspx,2026-09-10,
2614633,RealPage,hop-portal,https://dorianandencore.loftliving.com/login,2026-09-10,
