rank,score,score_size,score_timing,score_signal,score_open,signal,ref_id,name,city,units,software,why,sources
21,67,15,22,15,15,upcoming,richardson-jlb-west-cityline,JLB West Cityline,Richardson,,not chosen yet,Permit issued · opens ~2027 → software not chosen yet.,https://www.zabalist.com/projects/TABS2025022864
22,65,40,5,15,5,sold,2750390,Grand At Legacy West Apartments,Plano,621,Yardi,Sold Apr 2025 to LW OWNER 1 LLC · 621 units · on Yardi → new owner may re-pick software.,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(2750390);https://thegrandatlegacywest.securecafe.com/residentservices/the-grand-at-legacy-west0/userlogin.aspx"
23,64,32,12,15,5,sold,2945424,Park Residences Plano,Plano,318,Yardi,Sold Mar 2026 to PARK RESIDENCES PLANO WEST LLC · 318 units · on Yardi → new owner may re-pick software.,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(2945424);https://parkresidences-plano.securecafenet.com/residentservices/park-residences-plano-properties/userlogin"
24,64,39,5,15,5,sold,1627494,The Dayton,Plano,389,ResMan,Sold Apr 2025 to PECOS HOUSING FINANCE CORPORATION · 389 units · on ResMan → new owner may re-pick software.,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(1627494);https://s2capital.myresman.com/Portal/Applicants/Availability?a=1080&p=3683ab21-b83b-4d31-b29f-584e422c6d46&_gl=1*1i1vner*_gcl_au*MTA3MjUyMDkwMy4xNjk4MjA3MTM1*_ga*MTM2OTY2OTE4Mi4xNjk4MjA3MTM1*_ga_8SMWMMGMWV*MTY5ODIxMTk0My4yLjEuMTY5ODIxMzk5Ny41Ni4wLjA."
25,63,28,5,15,15,sold,1503117,Bellevue At Spring Creek Apartments,Plano,278,unknown,Sold Jun 2025 to SPRING CREEK 278 LLC · 278 units · software not yet identified → new owner may re-pick software.,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(1503117)"
26,63,38,5,15,5,sold,2058512,Creekside At Legacy Apartments,Plano,380,RealPage,Sold Sep 2024 to KEY CREEKSIDE LLC · 380 units · on RealPage → new owner may re-pick software.,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(2058512);https://creeksideatlegacy.loftliving.com/login"
27,63,15,18,15,15,upcoming,plano-haggard-farm,Haggard Farm,Plano,,not chosen yet,Under construction Dec 2025 · opens ~2027 → software not chosen yet.,https://communityimpact.com/plano/development/haggard-farm-development-going-vertical-in-coming-months/
28,60,30,0,15,15,sold,2560139,Axis 3700,Plano,300,unknown,Owner changed to APARTMENTS AXIS SPE LLC · 300 units · software not yet identified → new owner may re-pick software.,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(2560139)"
29,56,21,5,15,15,sold,1615274,Spring Pointe Apartments,Richardson,208,unknown,Sold Apr 2025 to THE CAMERON COUNTY HOUSING FINANCE CORPORATION · 208 units · software not yet identified → new owner may re-pick software.,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(1615274)"
30,55,30,5,15,5,sold,1976049,Lakeshore At Preston Apartments,Plano,302,Yardi,Sold Sep 2024 to SIMFA LAKESHORE FEE SIMPLE LLC · 302 units · on Yardi → new owner may re-pick software.,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(1976049);https://lakeshoreatpreston.securecafe.com/onlineleasing/lakeshore-at-preston0/guestlogin.aspx"
