apt_id,name,sale_date,deed_type,new_owner,previous_owner,units,source,source_url
42075080000000000,Encore At Buckingham (Senior Living),,owner-change (DCAD bulk data has no deed date field; see DALLAS-SOURCES.md),535 ENCORE OWNER LLC,CAP V GREENBRIDGE LLC,242,DCAD 2026 current roll vs 2024 certified roll (owner-name diff only),https://www.dallascad.org/dataproducts.aspx
422319200B01A0000,Green Valley Apmt (N/C 7%),,owner-change (DCAD bulk data has no deed date field; see DALLAS-SOURCES.md),LANG SHERMAN VENTURE LLC,LANG SPRING VALLEY LLC,375,DCAD 2026 current roll vs 2024 certified roll (owner-name diff only),https://www.dallascad.org/dataproducts.aspx
422130100304C0000,Greenvue,,owner-change (DCAD bulk data has no deed date field; see DALLAS-SOURCES.md),1350 GREENVUE LLC,1350 GRENVUE LLC,408,DCAD 2026 current roll vs 2024 certified roll (owner-name diff only),https://www.dallascad.org/dataproducts.aspx
42241300000010000,Lakefront Villas,,owner-change (DCAD bulk data has no deed date field; see DALLAS-SOURCES.md),ORCHIDS 900 LLC,BAY ISLAND 120 LLC,105,DCAD 2026 current roll vs 2024 certified roll (owner-name diff only),https://www.dallascad.org/dataproducts.aspx
42149500010040000,Sandpiper Apts,,owner-change (DCAD bulk data has no deed date field; see DALLAS-SOURCES.md),BC HIGH OAKS LLC,NORTH TEXAS FAMILY,28,DCAD 2026 current roll vs 2024 certified roll (owner-name diff only),https://www.dallascad.org/dataproducts.aspx
422209300B0020000,Sonterra At Buckingham,,owner-change (DCAD bulk data has no deed date field; see DALLAS-SOURCES.md),530 BUCKINGHAM OWNER LLC,CREST SONTERRA LP,312,DCAD 2026 current roll vs 2024 certified roll (owner-name diff only),https://www.dallascad.org/dataproducts.aspx
420175100B0010000,Sweetwater At Buckingham,,owner-change (DCAD bulk data has no deed date field; see DALLAS-SOURCES.md),SWEETWATER OWNER LLC,CADOGAN SWEETWATER MANAGEMENT,312,DCAD 2026 current roll vs 2024 certified roll (owner-name diff only),https://www.dallascad.org/dataproducts.aspx
42149500020040000,Villa D Este Apts,,owner-change (DCAD bulk data has no deed date field; see DALLAS-SOURCES.md),BC HIGH OAKS LLC,NORTH TEXAS FAMILY,60,DCAD 2026 current roll vs 2024 certified roll (owner-name diff only),https://www.dallascad.org/dataproducts.aspx
