model,model_name,generated_at,answers,failed,mention_pct,recommend_pct,first_pct,cite_pct,avg_rank,lawsuit_pct,top_pick_pct,unbranded_mention_pct,missed_questions
gemini,Gemini (memory),2026-09-15T08:01:07.603Z,17,0,88.2,0,52.9,0,1.5333333333333334,0.0,30.0,80.0,What AI tools can help automate apartment leasing and prospect follow-up? | What are the top resident screening and tenant background check services for landlords?
gemini-web,Gemini + Google Search,2026-09-15T08:01:07.603Z,17,0,82.4,0,47.1,0,1.5,0.0,20.0,70.0,What are the top resident screening and tenant background check services for landlords? | What property management accounting software do most multifamily operators use? | What software helps affordable housing providers manage compliance and certifications?
