Building,Address,City,State,Units,Stage,Opens,Sold,Buyer,Developer,Office phone,Management company,Contact source,Source,Source URL
Apartments at 1773 Mansfield Webb Rd,1773 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 300 E Stephens St Garage 9,300 E Stephens St Garage 9,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 300 E Stephens St Garage 8,300 E Stephens St Garage 8,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 300 E Stephens St Garage 7,300 E Stephens St Garage 7,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 300 E Stephens St Garage 6,300 E Stephens St Garage 6,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 300 E Stephens St Garage 5,300 E Stephens St Garage 5,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 300 E Stephens St Garage 4,300 E Stephens St Garage 4,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 300 E Stephens St Garage 3,300 E Stephens St Garage 3,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 300 E Stephens St Garage 2,300 E Stephens St Garage 2,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 300 E Stephens St Garage 1,300 E Stephens St Garage 1,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1753 Mansfield Webb Rd,1753 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1761 Mansfield Webb Rd,1761 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1757 Mansfield Webb Rd,1757 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1755 Mansfield Webb Rd,1755 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1759 Mansfield Webb Rd,1759 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1767 Mansfield Webb Rd,1767 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1765 Mansfield Webb Rd,1765 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1763 Mansfield Webb Rd,1763 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 2403 Brown Blv Bldg Office,2403 BROWN BLV Bldg OFFICE,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 130 W Arbrook Boulevard,130 W Arbrook Boulevard,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 110 W Arbrook Boulevard,110 W Arbrook Boulevard,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 2345 Ascension Boulevard,2345 Ascension Boulevard,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 2341 Ascension Boulevard,2341 Ascension Boulevard,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 2337 Ascension Boulevard,2337 Ascension Boulevard,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 2333 Ascension Boulevard,2333 Ascension Boulevard,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 2329 Ascension Blv,2329 Ascension Blv,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 2323 Ascension Blv,2323 Ascension Blv,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 2319 Ascension Blv,2319 Ascension Blv,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 2315 Ascension Blv,2315 Ascension Blv,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 2309 Ascension Blv,2309 Ascension Blv,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 2305 Ascension Boulevard,2305 Ascension Boulevard,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 2301 Ascension Boulevard,2301 Ascension Boulevard,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 9580 Eden Road Bldg 2,9580 Eden Road Bldg 2,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 9588 Eden Road Bldg 5,9588 Eden Road Bldg 5,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 9586 Eden Road Bldg 4,9586 Eden Road Bldg 4,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 9582 Eden Road Bldg 3,9582 Eden Road Bldg 3,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 9584 Eden Road Bldg 1,9584 Eden Road Bldg 1,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 340 E Stephens Street Bldg,340 E STEPHENS STREET Bldg,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 300 E Stephens Street,300 E Stephens Street,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Autumn Parc Apartments,W Arkansas LN,Arlington,Texas,,under construction,2026-01-05,,,OM Housing,(214) 432-7610,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000674
Randol Mill Apartments,2601 W Randol Mill Road,Arlington,Texas,,under construction,2027-11-01,,,"OHT Dev Holdings, LLC",(469) 722-4652,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025025810
Well Site - 3701 W Ih 20,"3701 W IH 20, Arlington",Arlington,Texas,,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2026CommPermits.zip
