Building,Address,City,State,Units,Stage,Opens,Sold,Buyer,Developer,Office phone,Management company,Contact source,Source,Source URL
Sherry Pointe Apartments,NEQ of E Arkansas Ln and Sherry St,Arlington,Texas,96,planned,,,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
L'Abri Apartments,"200 W Pioneer Pkwy, Arlington",Arlington,Texas,90,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2026CommPermits.zip
The Watson (fka Watson Apartments),1401 S Watson Rd,Arlington,Texas,82,planned,,,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Campbell Place,"6608, 6700, 6704 and 6710 U.S. 287 Frontage Road",Arlington,Texas,78,planned,,,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Legacy Living At Arlington,"1501 NE Green Oaks Blvd, Arlington",Arlington,Texas,60,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2026CommPermits.zip
Lydle Ridge Apts,"2301 Little Rd, Arlington",Arlington,Texas,59,permitted,,,,,,,,Tarrant County commercial records (ZIP),https://www.tad.org/content/data-download/2025CommPermits.zip
Apartments at 509 Debbie Lane Garage 9,509 Debbie Lane Garage 9,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 756 W Turner Warnell Road Bldg 3,756 W Turner Warnell Road Bldg 3,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 754 W Turner Warnell Road Bldg 4,754 W Turner Warnell Road Bldg 4,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 758 W Turner Warnell Road Bldg 2,758 W Turner Warnell Road Bldg 2,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 752 W Turner Warnell Road Bldg 5,752 W Turner Warnell Road Bldg 5,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 505 Mary Street,505 Mary Street,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 714 Benge Drive Bldg 1,714 Benge Drive Bldg 1,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 710 Benge Drive Bldg 2,710 Benge Drive Bldg 2,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 712 Benge Drive Bldg 3,712 Benge Drive Bldg 3,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 509 Debbie Lane Unit 100,509 DEBBIE LANE Unit 100,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 3703 Dr. Mlk Jr. Drive Bldg 7,3703 Dr. MLK JR. Drive Bldg 7,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 3705 Dr. Mlk Jr. Drive Bldg 6,3705 Dr. MLK JR. Drive Bldg 6,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 3707 Dr. Mlk Jr. Drive Bldg 5,3707 Dr. MLK JR. Drive Bldg 5,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 3711 Dr. Mlk Jr. Drive Bldg 3,3711 Dr. MLK JR. Drive Bldg 3,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1821 Mansfield Webb Rd,1821 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1819 Mansfield Webb Rd,1819 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1817 Mansfield Webb Rd,1817 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1815 Mansfield Webb Rd,1815 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1811 Mansfield Webb Rd,1811 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1809 Mansfield Webb Rd,1809 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1835 Mansfield Webb Rd,1835 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1833 Mansfield Webb Rd,1833 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1797 Mansfield Webb Rd,1797 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1827 Mansfield Webb Rd,1827 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1825 Mansfield Webb Rd,1825 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1823 Mansfield Webb Rd,1823 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1851 Mansfield Webb Rd,1851 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1853 Mansfield Webb Rd,1853 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1855 Mansfield Webb Rd,1855 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1837 Mansfield Webb Rd,1837 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1857 Mansfield Webb Rd,1857 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1769 Mansfield Webb Rd,1769 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1841 Mansfield Webb Road,1841 Mansfield Webb Road,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1843 Mansfield Webb Road,1843 Mansfield Webb Road,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1839 Mansfield Webb Rd,1839 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1701 Mansfield Webb Rd Garage 1,1701 Mansfield Webb Rd Garage 1,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1701 Mansfield Webb Rd Garage 4,1701 Mansfield Webb Rd Garage 4,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 800 W Bardin Road,800 W Bardin Road,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1727 Westview Ter Bldg Office,1727 WESTVIEW TER Bldg OFFICE,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 100 W Arbrook Boulevard,100 W Arbrook Boulevard,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 206A Slaughter Street,206A Slaughter Street,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 3925 Viridian Village Drive Unit E1,3925 VIRIDIAN VILLAGE DRIVE Unit E1,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1799 Mansfield Webb Rd,1799 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1803 Mansfield Webb Rd,1803 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1805 Mansfield Webb Rd,1805 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1807 Mansfield Webb Rd,1807 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1703 Mansfield Webb Rd,1703 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1705 Mansfield Webb Rd,1705 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1707 Mansfield Webb Rd,1707 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1709 Mansfield Webb Rd,1709 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1711 Mansfield Webb Rd,1711 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1715 Mansfield Webb Rd,1715 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1701 Mansfield Webb Rd Garage 5,1701 Mansfield Webb Rd Garage 5,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1701 Mansfield Webb Rd Garage 6,1701 Mansfield Webb Rd Garage 6,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1701 Mansfield Webb Rd Garage 7,1701 Mansfield Webb Rd Garage 7,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1701 Mansfield Webb Rd Garage 9,1701 Mansfield Webb Rd Garage 9,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1701 Mansfield Webb Rd Garage 8,1701 Mansfield Webb Rd Garage 8,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1701 Mansfield Webb Rd Garage 10,1701 Mansfield Webb Rd Garage 10,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1701 Mansfield Webb Rd Garage 12,1701 Mansfield Webb Rd Garage 12,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1701 Mansfield Webb Rd Garage 11,1701 Mansfield Webb Rd Garage 11,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1701 Mansfield Webb Rd Garage 3,1701 Mansfield Webb Rd Garage 3,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1701 Mansfield Webb Rd Garage 2,1701 Mansfield Webb Rd Garage 2,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1795 Mansfield Webb Rd,1795 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1717 Mansfield Webb Rd,1717 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1719 Mansfield Webb Rd,1719 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1801 Mansfield Webb Rd,1801 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1723 Mansfield Webb Rd,1723 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1725 Mansfield Webb Rd,1725 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1721 Mansfield Webb Rd,1721 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 8100 S Collins Street,8100 S Collins Street,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1831 Mansfield Webb Rd,1831 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1829 Mansfield Webb Rd,1829 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1793 Mansfield Webb Rd,1793 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1791 Mansfield Webb Rd,1791 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1789 Mansfield Webb Rd,1789 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1787 Mansfield Webb Rd,1787 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1785 Mansfield Webb Rd,1785 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1779 Mansfield Webb Rd,1779 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1777 Mansfield Webb Rd,1777 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1745 Mansfield Webb Rd,1745 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1741 Mansfield Webb Rd,1741 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1739 Mansfield Webb Rd,1739 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1737 Mansfield Webb Rd,1737 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
Apartments at 1735 Mansfield Webb Rd,1735 Mansfield Webb Rd,Arlington,Texas,,permitted,,,,,,,,City of Arlington issued permits,https://opendata.arlingtontx.gov/
