Building,Address,City,State,Units,Stage,Opens,Sold,Buyer,Developer,Office phone,Source,Source URL
Unnamed project,,Mesa,Arizona,36,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
515 N Mesa Dr,515 N Mesa Dr,Mesa,Arizona,36,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
539 S Williams,539 S Williams,Mesa,Arizona,36,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
8137 E Brown Rd,8137 E Brown Rd,Mesa,Arizona,36,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
Unnamed project,,Mesa,Arizona,29,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
144 S 90th St 101,144 S 90th St 101,Mesa,Arizona,29,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
144 S 90th St 102,144 S 90th St 102,Mesa,Arizona,29,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
144 S 90th St 103,144 S 90th St 103,Mesa,Arizona,29,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
144 S 90th St 104,144 S 90th St 104,Mesa,Arizona,29,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
144 S 90th St 105,144 S 90th St 105,Mesa,Arizona,29,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
144 S 90th St 106,144 S 90th St 106,Mesa,Arizona,29,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
144 S 90th St 107,144 S 90th St 107,Mesa,Arizona,29,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
144 S 90th St 108,144 S 90th St 108,Mesa,Arizona,29,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
144 S 90th St 109,144 S 90th St 109,Mesa,Arizona,29,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
144 S 90th St 112,144 S 90th St 112,Mesa,Arizona,29,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
144 S 90th St 115,144 S 90th St 115,Mesa,Arizona,29,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
144 S 90th St 119,144 S 90th St 119,Mesa,Arizona,29,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
144 S 90th St 123,144 S 90th St 123,Mesa,Arizona,29,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
144 S 90th St 127,144 S 90th St 127,Mesa,Arizona,29,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
144 S 90th St 128,144 S 90th St 128,Mesa,Arizona,29,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
144 S 90th St 129,144 S 90th St 129,Mesa,Arizona,29,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
Unnamed project,,Mesa,Arizona,,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
10136 E Southern Ave,10136 E Southern Ave,Mesa,Arizona,,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
109 N Alma School Rd,109 N Alma School Rd,Mesa,Arizona,,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
1145 S Rowen,1145 S Rowen,Mesa,Arizona,,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
1431 E Knoll Cir,1431 E Knoll Cir,Mesa,Arizona,,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
2102 E Broadway Rd,2102 E Broadway Rd,Mesa,Arizona,,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
6733 E Main St,6733 E Main St,Mesa,Arizona,,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
944 W Main St 2025,944 W Main St 2025,Mesa,Arizona,,permitted,,,,,,City of Mesa building permits,https://data.mesaaz.gov/Building-Development/Building-Permits/dzpk-hxfb
