apt_id,owner,website_confidence,unknown_reason,sale_date,sale_new_owner,sale_previous_owner,lead_rank,lead_total_leads,lead_why
2786868,KINCAID AT LEGACY TEXAS LLC,high,,,,,,,
1824574,PLANO PUBLIC FACILITY CORPORATION,none,no-website,,,,,,
2843992,5765 BOZEMAN (TX) OWNER LP,high,no-portal-link,,,,,,
1571757,ANNE MAYA - PLANO LLC &,high,,,,,,,
2084407,RAR PLANO LLC,high,,,,,,,
2818383,ALTA 289 LLC,high,,,,,,,
1268247,FOX PARTNERS LLC,high,,,,,,,
2712754,TR JUNCTION 15 LLC,high,no-portal-link,,,,,,
1503117,SPRING CREEK 278 LLC,low,no-website,2025-06-24,SPRING CREEK 278 LLC,unknown (same owner name in 2025 roll),25,63,Sold Jun 2025 to SPRING CREEK 278 LLC · 278 units · software not yet identified → new owner may re-pick software.
113282,6400 INDEPENDENCE PLANO LLC,high,,,,,,,
2039198,2009 COLP COMMUNITY OWNER LLC,high,,,,,,,
2047307,RJW PRESTONWOOD HILLS LP,high,,,,,,,
2091841,MAINSTAY LEGACY PLANO LP,high,,,,,,,
2932770,GRAYCO PLANO INVESTMENT 2022 LP,high,,,,,,,
1971215,CWS BELL LP & CWS WWL LEGACY LP,high,,,,,,,
1971235,BRISTLECONE TEXAS LTD,high,,,,,,,
179611,LURIN REAL ESTATE HOLDINGS LXIII LLC,high,no-portal-link,,,,,,
2041713,S2 PRESTON PARK LP,high,,2026-07-08,S2 PRESTON PARK LP,unknown (same owner name in 2025 roll),9,77,Sold Jul 2026 to S2 PRESTON PARK LP · 266 units · on Yardi → new owner may re-pick software.
2071041,PLANO GFPG LLC,high,no-portal-link,,,,,,
2686924,PPF AMLI WEST PLANO VILLAGE LP,high,,,,,,,
2858142,PROMONTORY RESIDENTIAL LP,high,,,,,,,
94855,FAIRWAY GARDENS LP,high,,,,,,,
2116704,UDR LEGACY VILLAGE LLC,high,,,,,,,
2672946,BELL VALUE-ADD FUND VIII GATEWAY LP,high,no-portal-link,,,,,,
2672945,BELL VALUE-ADD FUND VIII GATEWAY LP,high,,,,,,,
2544000,BEL AIR MULTI 50 LLC &,high,,,,,,,
1935918,WWC CHASE OAKS LP,high,,,,,,,
2556799,PWA-PLANO INDEPENDENCE SENIOR COMMUNITY LP,high,,,,,,,
2595347,EQR-KIA ORA PARK LP,none,no-website,,,,,,
2122987,COVEY PLANO LP,high,,,,,,,
1623283,CORNERSTONE LEGACY LP,high,,,,,,,
1972919,PROPERTY RESERVE INC,none,no-website,,,,,,
2031654,GARDEN GATE PL ACQUISITION LP,high,,,,,,,
2031655,CAMDEN OPERATING LP,high,,,,,,,
2084397,PASKIN PROPERTIES - 4640 HEDGECOXE LLC &,high,,,,,,,
2582787,UNIFIED HOUSING OF CHASE OAKS LLC,high,,,,,,,
2614632,KV ENCORE APARTMENTS LLC,high,,,,,,,
92688,PRICEBLU CUSTER LLC,high,,,,,,,
365483,CLOVER WOODLANDS PLANO OWNER LLC,high,,,CLOVER WOODLANDS PLANO OWNER LLC,THURMAN WOODLANDS LP,38,43,Owner changed to CLOVER WOODLANDS PLANO OWNER LLC · 232 units · on RealPage → new owner may re-pick software.
2120057,TOWNS OF CHAPEL HILL APTS LP,high,,,,,,,
1716655,WINSTON GT HOLDINGS LP &,high,no-portal-link,2026-06-24,WINSTON GT HOLDINGS LP,PECOS HOUSING FINANCE CORPORATION,7,83,Sold Jun 2026 to WINSTON GT HOLDINGS LP · 229 units · software not yet identified → new owner may re-pick software.
2900849,PLANO HOUSING AUTHORITY,high,,,,,,,
1989159,PRESTON OLD SHEPARD TITLEHOLDER LLC,high,,,,,,,
2632167,CONSERVATORY SENIOR HOUSING AT CHAMPION FOREST LP & ETAL,high,no-portal-link,,,,,,
1747603,HOP BORROWER LLC,high,,,,,,,
2116749,MAA WWARRS LLC,high,,,,,,,
2631255,VTR PLANO LLC,high,no-portal-link,,,,,,
2846017,LUXIA PRESTON LLC,high,,,,,,,
2843990,5765 BOZEMAN (TX) OWNER LP,high,no-portal-link,,,,,,
287594,INDEPENDENCE RES LLC,high,no-portal-link,,,,,,
2097518,PEBBLE CREEK GARDENS LP,high,,,,,,,
2109636,SPRING CREEK GARDENS LP,high,,,,,,,
1511233,HARVESTREE OWNER LLC,high,,2025-08-01,HARVESTREE OWNER LLC,HARVESTREE APARTMENTS LLC,36,45,Sold Aug 2025 to HARVESTREE OWNER LLC · 204 units · on Yardi → new owner may re-pick software.
1515006,MID-AMERICA APARTMENTS LP,high,,,,,,,
1974850,WELLINGTON APARTMENTS UI LLC & DEMING CENTRAL WELLINGTON LLC &,high,,,,,,,
134633,BUMPUS DONALD R GRANTOR TRUST THE,high,,,,,,,
2802245,TIMBERS PLANO PARTNERS LLC - ETAL,high,,,,,,,
1580300,PRICE GREENBRIAR PLANO LLC,high,,,,,,,
2132903,HERITAGE AT LAKESIDE PROPERTY OWNER LLC,high,,,,,,,
2092539,GP-RPC LIVINGSTON LLC,high,,,,,,,
2953639,MARIPOSA COMMUNICATIONS PARKWAY LP,high,,,,,,,
2820374,CSH PLANO ACT LLC,high,,2026-07-17,CSH PLANO ACT LLC,unknown (same owner name in 2025 roll),17,68,Sold Jul 2026 to CSH PLANO ACT LLC · 178 units · on Entrata → new owner may re-pick software.
2734943,LW RESIDENTIAL PARTNERS LP,high,,2025-04-22,LW RESIDENTIAL PARTNERS LP,unknown (same owner name in 2025 roll),37,43,Sold Apr 2025 to LW RESIDENTIAL PARTNERS LP · 175 units · on Yardi → new owner may re-pick software.
2116750,MAA WWARRS LLC,low,no-website,,,,,,
2710065,DHC HYB SLC PROPERTIES LLC,high,,2025-09-26,DHC HYB SLC PROPERTIES LLC,SNH SE PROPERTIES TRUST,33,49,Sold Sep 2025 to DHC HYB SLC PROPERTIES LLC · 168 units · on Entrata → new owner may re-pick software.
2027278,RC CALVIN LLC,high,,2024-12-13,RC CALVIN LLC,unknown (same owner name in 2025 roll),39,42,Sold Dec 2024 to RC CALVIN LLC · 167 units · on AppFolio → new owner may re-pick software.
2808931,LW OWNER 2 LLC,high,,2025-04-28,LW OWNER 2 LLC,unknown (same owner name in 2025 roll),40,41,Sold Apr 2025 to LW OWNER 2 LLC · 161 units · on Yardi → new owner may re-pick software.
26251,TOWNBLUFF RES LLC,high,no-portal-link,,,,,,
1747612,HOP BORROWER LLC,low,no-website,,,,,,
269792,PLANO PUBLIC FACILITY CORPORATION,high,,,,,,,
1708744,PARK SPRINGS TEXAS LLC,high,,,,,,,
2936294,PLANO OWNER LLC,medium,no-portal-link,,,,,,
2545145,PECAN PUBLIC FACILITY CORPORATION,high,,,,,,,
21924,1001 CHISHOLM LLC,high,,,,,,,
21157,URBAN HIGH POINT LP,high,,,,,,,
1640889,WINDSOR PLACE EQUITY ENTERPRISES LLC,high,,,,,,,
2654207,ASHLEY PARK TOWNHOMES LLC,high,,,,,,,
2843129,PLANO FAMILY 001 LP,high,no-portal-link,,,,,,
2115198,TRIAD SENIOR LIVING II LP,high,no-portal-link,,,,,,
2873065,TWIN RIVERS AT COLLIN CREEK LTD,high,no-portal-link,,,,,,
2107914,M N PLANO LTD,high,,,,,,,
148646,ALTA VISTA APARTMENTS & TJFL LEGACY LP,high,,2025-02-07,ALTA VISTA APARTMENTS & TJFL LEGACY LP,unknown (same owner name in 2025 roll),41,38,Sold Feb 2025 to ALTA VISTA APARTMENTS & TJFL LEGACY LP · 133 units · on RealPage → new owner may re-pick software.
2107892,NEVADA VI GD LLC,high,,,,,,,
2572901,PECAN PUBLIC FACILITY CORPORATION,high,,,,,,,
2721330,STARBOARD PREMIER DST,high,,,,,,,
2069471,WINTERFELL COTTONWOOD (TX) OWNER LLC,high,no-portal-link,,,,,,
2873533,GALA AT PREMIER LP,high,,,,,,,
148655,VDS EAT LLC,high,,,,,,,
2683019,UHF TUSCANY VILLAS HOUSING LP,high,,,,,,,
2803398,TTEP AMBER VISTA LLC,high,,,,,,,
13310,SHILOH PARK TOWNHOMES LLC,high,no-portal-link,,,,,,
1524318,COBBLESTONE CONDOS 71 LP,high,no-portal-link,,,,,,
