propid,dbaname,situsconcatshort,situscity,situszip,ownername,imprvunits,imprvyearbuilt,propusecode
2117157,CLEARWATER CREEK APARTMENTS,4000 E RENNER RD,RICHARDSON,75082,SOUTHWEST CLEARWATER CREEK PARTNERS LP,336,2000,MFU
2758568,NORTHSIDE I,3000 NORTHSIDE BLVD,RICHARDSON,75080,NORTHSIDE CAMPUS PARTNERS LP,313,2016,MFU-IMPO
2786866,REGISTER APARTMENTS,3520 WILSHIRE WAY,RICHARDSON,75082,REGISTER RICHARDSON LLC THE,306,2019,MFU
2725278,WINDSOR CITYLINE,1250 HUNT ST,RICHARDSON,75082,IMP CITYLINE LLC,299,2015,MFU
2693848,STANDARD AT CITYLINE APARTMENTS PH 1,1125 E RENNER RD,RICHARDSON,75082,PRICE STANDARD AT CITYLINE LP,276,2014,MFU
2776050,NORTHSIDE PHASE 2,3100 NORTHSIDE BLVD,RICHARDSON,75080,NORTHSIDE CAMPUS PARTNERS 2 LP,275,2017,MFU-IMPO
2924643,THE RILEY,3551 WILSHIRE WAY 1,RICHARDSON,75082,GARLAND HOUSING FINANCE CORPORATION,269,2016,MFU
2811014,NORTHSIDE PHASE 3,750 SYNERGY PARK BLVD,RICHARDSON,75080,NORTHSIDE CAMPUS PARTNERS 3 LP,246,2019,MFU-IMPO
1865440,CANTERBURY COURTS APARTMENTS,2600 E RENNER RD,RICHARDSON,75082,D CANTERBURY LLC,240,1992,MFU
2739599,LYLA APARTMENTS,3521 WILSHIRE WAY,RICHARDSON,75082,LYLA OWNER LLC,237,2016,MFU
2784362,BELL CITYLINE,1230 E CITYLINE DR,RICHARDSON,75082,BCF I CITYLINE LLC,236,2017,MFU
2039698,CORTLAND PRAIRIE CREEK APARTMENTS,3560 ALMA RD,RICHARDSON,75080,PRAIRIE CREEK APTS LLC,236,1996,MFU
2707424,ANTHEM CITYLINE,1250 STATE ST,RICHARDSON,75082,ANTHEM AT CITYLINE/PT-SPE LLC,233,2014,MFU
2725294,FLATS AT PALISADES,2625 EMPIRE DR,RICHARDSON,75080,FLATS AT PALISADES LLC,232,2016,MFU
2039699,CORTLAND PRAIRIE CREEK VILLAS II APARTMENTS,3560 ALMA RD,RICHARDSON,75080,PRAIRIE CREEK APTS LLC,228,1998,MFU
2058066,BRECKINRIDGE POINT APARTMENTS,4250 E RENNER RD,RICHARDSON,75082,BRECKINRIDGE POINT TX LLC,226,1998,MFU
2058065,BRECKENRIDGE POINT APARTMENTS,3500 NORTH STAR RD,RICHARDSON,75082,BRECKINRIDGE POINT TX LLC,214,1998,MFU
2784361,CITYLINE PARK,1130 E CITYLINE DR,RICHARDSON,75082,BCF I CITYLINE LLC,199,2017,MFU
2667180,EVERGREEN AT RICHARDSON SENIOR CHODO,3551 NORTH STAR RD,RICHARDSON,75082,EVERGREEN RICHARDSON SENIOR COMMUNITY LP,170,2011,MFUSU
2692418,CREEKSIDE TOWNHOMES,3650 CUSTER PKWY,RICHARDSON,75080,CUSTER CREEKSIDE LLC,162,2012,MFU
2054151,VILLAGES AT CLEAR SPRINGS APARTMENTS,2600 CLEAR SPRINGS DR,RICHARDSON,75082,VILLAGES RESIDENCES LP,160,1997,MFU
155691,ROYAL ARMS APARTMENTS,2811 CUSTER PKWY,RICHARDSON,75080,ROLLING CASH ROYAL ARMS LP,129,1970,MFU
2693849,STANDARD AT CITYLINE  APARTMENTS PH 2,1225 E RENNER RD,RICHARDSON,75082,PRICE STANDARD AT CITYLINE LP,127,2013,MFU
2117158,CLEARWATER CREEK APTS,3301 NORTH STAR RD,RICHARDSON,75082,SOUTHWEST CLEARWATER CREEK PARTNERS LP,106,2000,MFU
220291,FOUNDATION AT CITYLINE APARTMENTS,601 W RENNER RD,RICHARDSON,75080,FOUNDATION APARTMENTS WAGERMAN LLC &,88,1979,MFU
2686978,YORKSHIRE APARTMENT HOMES,3601 SHIRE BLVD,RICHARDSON,75082,MIYAMA USA DUCK CREEK INC,56,2013,MFU
