propid,dbaname,situsconcatshort,situscity,situszip,ownername,imprvunits,imprvyearbuilt,propusecode
1976049,LAKESHORE AT PRESTON APARTMENTS,3700 PRESTON RD,PLANO,75093,SIMFA LAKESHORE FEE SIMPLE LLC,302,1991,MFU
2649742,CORTLAND WEST PLANO APARTMENTS,8100 MEMORIAL LN,PLANO,75024,TX APT 8205 TOWNE MAIN DRIVE LP,302,2007,MFU
2560139,AXIS 3700,3700 MAPLESHADE LN,PLANO,75075,APARTMENTS AXIS SPE LLC &,300,2014,MFU
2073802,WATERS EDGE APARTMENTS,5000 WHITESTONE LN,PLANO,75024,SAGAR EDGE MASTER LLC,300,1997,MFU
2070489,SHERIDAN PARK AT SPRING CREEK APARTMENTS,2001 E SPRING CREEK PKWY,PLANO,75074,SPRING CREEK FEE OWNER LLC,300,1997,MFU
2786868,KINCAID AT LEGACY APARTMENTS,7200 DALLAS PKWY,PLANO,75024,KINCAID AT LEGACY TEXAS LLC,300,2017,MFU
1824574,SUMMERS CROSSING APARTMENTS,1500 PRESTON RD,PLANO,75093,PLANO PUBLIC FACILITY CORPORATION,294,1985,MFU
2843992,LEGACY NORTH,5765 BOZEMAN DR,PLANO,75024,5765 BOZEMAN (TX) OWNER LP,293,2009,MFU
1571757,CROSS CREEK APARTMENTS,7401 ALMA DR,PLANO,75025,ANNE MAYA - PLANO LLC &,290,1983,MFU
2945424,PARK RESIDENCES PLANO,1109 PARK VISTA RD,PLANO,75094,PARK RESIDENCES PLANO WEST LLC,288,2019,MFUSE
2084407,RANCH AT RIDGEVIEW APARTMENTS,2901 RIDGEVIEW DR,PLANO,75025,RAR PLANO LLC,288,1998,MFU
2818383,WINDSOR PRESTON,7950 PRESTON RD,PLANO,75024,ALTA 289 LLC,288,2018,MFU
1268247,FOX TRAILS APARTMENTS,6300 ROUNDROCK TRL,PLANO,75023,FOX PARTNERS LLC,286,1981,MFU
2712754,JUNCTION 15 APARTMENTS,930 E 15TH ST,PLANO,75074,TR JUNCTION 15 LLC,279,2013,MFU
1503117,BELLEVUE AT SPRING CREEK APARTMENTS,2401 W SPRING CREEK PKWY,PLANO,75023,SPRING CREEK 278 LLC,278,1982,MFU
2039198,CAMDEN LEGACY PARK APARTMENTS,6600 PRESTON RD,PLANO,75024,2009 COLP COMMUNITY OWNER LLC,276,1995,MFU
113282,HUNTERS GLEN APARTMENTS,6400 INDEPENDENCE PKWY,PLANO,75023,6400 INDEPENDENCE PLANO LLC,276,1980,MFU
2096031,CORTLAND WEST PLANO,8123 OHIO DR,PLANO,75024,TX APT 8205 TOWNE MAIN DRIVE LP,276,1998,MFU
2047307,PRESTONWOOD HILLS APARTMENTS,6601 W PLANO PKWY,PLANO,75093,RJW PRESTONWOOD HILLS LP,272,1996,MFU
2091841,WINDSOR AT LEGACY,6400 WINDCREST DR,PLANO,75024,MAINSTAY LEGACY PLANO LP,270,1998,MFU
2932770,THE EMORY,1345 14TH ST,PLANO,75074,GRAYCO PLANO INVESTMENT 2022 LP,270,2023,MFU
1971215,MARQUIS AT LEGACY APARTMENTS,6820 PRESTON RD,PLANO,75024,CWS BELL LP & CWS WWL LEGACY LP,268,1990,MFU
1971235,COTTAGES AT TULANE APARTMENTS,2600 PRESTON RD,PLANO,75093,BRISTLECONE TEXAS LTD,268,1990,MFU
179611,EVANA GROVE,3500 HILLRIDGE DR,PLANO,75074,LURIN REAL ESTATE HOLDINGS LXIII LLC,266,1970,MFU
2041713,ELLINGTON,4701 PRESTON PARK BLVD,PLANO,75093,S2 PRESTON PARK LP,266,1995,MFU
2686924,AMLI WEST PLANO,5961 W PARKWOOD BLVD,PLANO,75093,PPF AMLI WEST PLANO VILLAGE LP,264,2014,MFU
2071041,PARKER APARTMENTS,4701 CHARLES PL,PLANO,75093,PLANO GFPG LLC,264,1997,MFU
2006889,COLONNADE AT WILLOW BEND APARTMENTS,1100 MEREDITH LN,PLANO,75093,1100 MEREDITH LANE INC,264,1993,MFU
2006876,VILLAS OF PRESTON CREEK APARTMENTS,6900 PRESTON RD,PLANO,75024,FRANKEL FAMILY TRUST THE,264,1992,MFU
2858142,RESIDENCES AT PROMONTORY,4700 W SPRING CREEK PKWY,PLANO,75093,PROMONTORY RESIDENTIAL LP,264,2023,MFU
94855,FAIRWAY APARTMENTS,1705 COIT RD,PLANO,75075,FAIRWAY GARDENS LP,256,1979,MFU
2672946,PARK AT GATEWAY APARTMENTS,355 VISTAGLEN DR,PLANO,75074,BELL VALUE-ADD FUND VIII GATEWAY LP,255,2016,MFU
2116704,LAKESIDE AT LEGACY VILLAGE APARTMENTS I & II,7001 PARKWOOD BLVD,PLANO,75024,UDR LEGACY VILLAGE LLC,255,2003,MFU
2672945,BELL GATEWAY VILLAGE,350 VISTA COURT DR,PLANO,75074,BELL VALUE-ADD FUND VIII GATEWAY LP,254,2012,MFU
2556799,EVERGREEN AT PLANO APTS SENIOR CHODO,600 INDEPENDENCE PKWY,PLANO,75075,PWA-PLANO INDEPENDENCE SENIOR COMMUNITY LP,250,2004,MFUSU
2595347,KIA ORA PARK APARTMENTS,9300 COIT RD,PLANO,75025,EQR-KIA ORA PARK LP,250,2006,MFU
1935918,VILLAS AT CHASE OAKS APARTMENTS,600 LEGACY DR,PLANO,75023,WWC CHASE OAKS LP,250,1986,MFU
2929401,THE BEACON,4060 BEACON SQUARE BLVD,PLANO,75075,BEACON SQUARE ASSOCIATION INC,246,2022,MFU
1623283,LEGACY APARTMENTS,6909 CUSTER RD,PLANO,75023,CORNERSTONE LEGACY LP,244,1984,MFU
1972919,OLD SHEPARD PLACE APARTMENTS,1520 PRESTON RD,PLANO,75093,PROPERTY RESERVE INC,244,1990,MFU
2614632,ENCORE APARTMENTS,4700 TRIBECA LN,PLANO,75024,KV ENCORE APARTMENTS LLC,240,2011,MFU
2031654,GARDEN GATE APARTMENTS CHODO,1201 LEGACY DR,PLANO,75023,GARDEN GATE PL ACQUISITION LP,240,1994,MFUSU
2031655,CAMDEN LEGACY CREEK APARTMENTS,6400 OHIO DR,PLANO,75024,CAMDEN OPERATING LP,240,1994,MFU
2084397,POINT AT DEERFIELD APARTMENTS,4640 HEDGCOXE RD,PLANO,75024,PASKIN PROPERTIES - 4640 HEDGECOXE LLC &,240,1998,MFU
2582787,PLAZA AT CHASE OAKS SENIOR CHODO,7100 CHASE OAKS BLVD,PLANO,75025,UNIFIED HOUSING OF CHASE OAKS LLC,240,2005,MFUSU
2929400,THE BEACON,4065 BEACON SQUARE BLVD,PLANO,75075,BEACON SQUARE ASSOCIATION INC &,237,2022,MFU
1986344,LA COSTA APARTMENTS,6100 OHIO DR,PLANO,75024,WESTDALE LA COSTA TX LP,234,1991,MFU
2581388,VILLAS OF SPRING CREEK I APARTMENTS,6301 STONEWOOD DR,PLANO,75024,SPRING CREEK VILLAS LP,234,1999,MFU
2120057,TOWNS OF CHAPEL HILL APARTMENTS,6201 CHAPEL HILL BLVD,PLANO,75093,TOWNS OF CHAPEL HILL APTS LP,232,1997,MFU
92688,CUSTER PARK APARTMENTS,3400 CUSTER RD,PLANO,75023,PRICEBLU CUSTER LLC,232,1978,MFU
365483,WOODLANDS OF PLANO APARTMENTS TC,1300 RIGSBEE DR,PLANO,75074,CLOVER WOODLANDS PLANO OWNER LLC,232,1968,MFUSU
1716655,HATHAWAY AT WILLOW BEND,2525 PRESTON RD,PLANO,75093,WINSTON GT HOLDINGS LP &,229,1984,MFU
1999757,LA COSTA APARTMENTS,4595 W SPRING CREEK PKWY,PLANO,75024,WESTDALE LA COSTA TX LP,228,1992,MFU
1989159,THE OAKS AT PLANO,5000 OLD SHEPARD PL,PLANO,75093,PRESTON OLD SHEPARD TITLEHOLDER LLC,224,1991,MFUSE
2632167,CONSERVATORY AT PLANO SENIOR APARTMENTS,6401 OHIO DR,PLANO,75024,CONSERVATORY SENIOR HOUSING AT CHAMPION FOREST LP & ETAL,222,2006,MFUSE
1747603,BIRCHSTONE RESIDENTIAL,2523 OHIO DR,PLANO,75093,HOP BORROWER LLC,220,1984,MFU
2631255,ATRIA CANYON CREEK SENIOR APTS,440 INDEPENDENCE PKWY,PLANO,75075,VTR PLANO LLC,213,2007,MFUSE
2116749,MAA LEGACY APARTMENTS,5741 MARTIN RD,PLANO,75024,MAA WWARRS LLC,213,1999,MFU
