area,name,city,address,units,stage,signal,why,permit_date,opening_date,sale_date,buyer,developer,office_phone,website,software,permit_link,news_link,website_link,agenda_link,map_link,source_link,region,status
ny,2227 South Park,Buffalo,2227 SOUTH PARK,,permitted,Opens: not public yet,Permitted · opens: not public yet · software not picked yet,2026-08-18,,,,,,https://www.pyramidbrokerage.com/listings/2227-south-park-avenue-buffalo-ny-b13819/,,https://data.buffalony.gov/resource/9p2d-f3yt.json,https://www.bizjournals.com/buffalo/news/2025/07/21/dofi-development-plans-apartments-in-south-buffalo.html,https://www.pyramidbrokerage.com/listings/2227-south-park-avenue-buffalo-ny-b13819/,,,https://data.buffalony.gov/Government/Building-Permits/9p2d-f3yt,,Upcoming
ny,110 Pearl St,Buffalo,110 PEARL ST,,permitted,Opens: not public yet,Permitted · opens: not public yet · software not picked yet,2026-08-18,,,,,,https://www.apartmenthomeliving.com/buffalo-ny/zip-code/14202-apartments,,https://data.buffalony.gov/resource/9p2d-f3yt.json,https://www.facebook.com/TheBuffaloNews/posts/two-months-after-purchasing-the-historic-dun-building-on-pearl-street-mcguire-de/1241030941391361/,https://www.apartmenthomeliving.com/buffalo-ny/zip-code/14202-apartments,,,https://data.buffalony.gov/Government/Building-Permits/9p2d-f3yt,,Upcoming
